Time,Plasma,Cbb,Cbm,Cccsf,Cscsf,,Parameters,Sim 1
0,0,0,0,0,0,,Vbb,0.065
0.25,0,0,0,0,0,,Vbm,1.1041
15.84083843,0.49221412,0.496868962,0.209883846,0.100442564,0.111136359,,,
16.08132935,0.487667451,0.492796304,0.207904643,0.09948274,0.109909073,,,
16.32238007,0.483238656,0.488130777,0.20596825,0.098568672,0.10871697,,,
16.5634079,0.478893549,0.483878395,0.20407428,0.097667759,0.107558895,,,
16.80447769,0.474626906,0.478989214,0.202210827,0.096804795,0.10642645,,,
17.04482651,0.470421191,0.475253694,0.200383494,0.095919072,0.105323938,,,
17.28585815,0.466315788,0.471162071,0.19859541,0.095067318,0.104251959,,,
17.52029419,0.462262541,0.467122149,0.196833482,0.094227971,0.103202107,,,
17.76083946,0.458270442,0.463023556,0.195099268,0.093408244,0.102174906,,,
18.00188637,0.454370161,0.458721966,0.193401942,0.092609286,0.101175842,,,
18.24305344,0.450529811,0.454211211,0.191730634,0.091837256,0.100197392,,,
18.48403549,0.446703267,0.451324426,0.190079913,0.091006097,0.099236998,,,
18.72553444,0.442968738,0.447456609,0.188457881,0.090244382,0.0982978,,,
18.96609879,0.439282111,0.443541654,0.186858906,0.089492359,0.097376901,,,
19.20648193,0.435645121,0.439867035,0.18528308,0.088736851,0.096474197,,,
19.44069099,0.432045917,0.436954536,0.183729126,0.087973517,0.095588427,,,
19.68118477,0.428524091,0.432469041,0.182197817,0.087280889,0.09471892,,,
19.92241859,0.425023116,0.429258837,0.180685503,0.086543218,0.093864633,,,
20.16363716,0.421580504,0.425381306,0.179194992,0.08584093,0.09302614,,,
20.40483093,0.418175297,0.422118692,0.177722543,0.085143762,0.092201242,,,
20.64548492,0.414795182,0.419195114,0.176267649,0.084421042,0.091389498,,,
20.88611412,0.411483156,0.415110443,0.174831473,0.083761755,0.090591062,,,
21.1205883,0.408204284,0.411691623,0.173414504,0.083092144,0.08980635,,,
21.36170769,0.404959759,0.408415345,0.172014886,0.082427019,0.089033677,,,
21.60281372,0.401745637,0.405133399,0.170628437,0.081760039,0.088271183,,,
21.84323692,0.398554298,0.402541918,0.169256392,0.081080686,0.087519015,,,
22.08372498,0.395427074,0.398792081,0.167902578,0.080458846,0.08677872,,,
22.32499695,0.392306188,0.396664235,0.166564348,0.07978308,0.086049636,,,
22.56541252,0.389241321,0.39309576,0.165239648,0.079167117,0.085329417,,,
22.80014229,0.386186673,0.390722092,0.16392996,0.078518914,0.084619559,,,
23.04060555,0.383195762,0.386755515,0.162634346,0.0779348,0.083918639,,,
23.28166008,0.380215615,0.383670621,0.161350766,0.077324184,0.083226247,,,
23.52279472,0.377264409,0.380831614,0.160081384,0.076706711,0.082543016,,,
23.7640152,0.374338323,0.378254095,0.158824846,0.076093647,0.081868285,,,
24.24636078,0.368585015,0.372001435,0.156347829,0.074916546,0.080542022,,,
24.4800396,0.365751697,0.369181119,0.155127661,0.07433787,0.079890586,,,
24.72093773,0.362944171,0.366324813,0.153921529,0.073757345,0.079247874,,,
24.9611721,0.360160428,0.363673336,0.152725646,0.073180666,0.078611746,,,
25.20233727,0.357402246,0.361166128,0.151541417,0.072603181,0.077982911,,,
25.44258881,0.354684858,0.357744401,0.15036839,0.072066089,0.07736059,,,
25.68449211,0.351966572,0.355284302,0.149204094,0.071496951,0.076744223,,,
25.92551994,0.349292517,0.352472137,0.148053957,0.070960866,0.076136043,,,
26.16602898,0.346643356,0.349349466,0.14691284,0.070424964,0.07553338,,,
26.40004158,0.344010655,0.346870103,0.145783731,0.06987837,0.074937903,,,
26.64113235,0.34138567,0.345227377,0.144664517,0.069305316,0.074348746,,,
26.88219452,0.33880857,0.342243755,0.143553818,0.068788528,0.073764284,,,
27.12334824,0.336246399,0.339407781,0.142453031,0.068271667,0.073185671,,,
27.3637886,0.333699085,0.337332905,0.141363377,0.067727321,0.072613834,,,
27.60424042,0.331199804,0.333938168,0.14028543,0.067244137,0.072048215,,,
27.84573746,0.32870501,0.331302918,0.13921269,0.066738316,0.071486123,,,
28.08676338,0.326224392,0.329298908,0.138153587,0.066213126,0.070931833,,,
